51	36.2%
52	51.9%
53	59.6%
54	50.0%
55	62.3%
56	46.6%
57	46.6%
58	60.3%
59	53.2%
60	61.0%
61	67.6%
62	30.2%
63	62.9%
64	50.8%
65	49.2%
66	56.7%
67	50.0%
68	60.6%
69	54.2%
70	37.5%
71	63.9%
72	52.7%
73	82.8%
74	47.6%
75	49.1%
76	47.6%
77	44.0%
78	64.0%
79	61.3%
80	76.4%
81	50.8%
82	53.7%
83	54.5%
84	35.8%
85	39.5%
86	32.6%
87	64.1%
88	43.1%
89	53.1%
90	40.8%
91	61.8%
92	58.3%
93	44.4%
94	56.9%
95	75.0%
96	61.8%
97	58.0%
98	64.5%
99	69.1%
100	59.7%
101	75.0%
102	47.6%
103	100.0%
104	25.0%
105	66.7%
106	100.0%
107	100.0%
108	100.0%
109	51.9%
110	75.0%
111	66.7%
112	100.0%
113	72.7%
114	66.7%
115	75.0%
116	27.3%
117	71.4%
118	72.7%
119	75.0%
120	81.8%
121	57.1%
122	100.0%
123	50.0%
124	100.0%
125	50.0%
126	100.0%
127	33.3%
128	100.0%
129	50.0%
130	80.0%
131	0.0%
132	63.6%
133	0.0%
134	62.5%
136	31.8%
137	100.0%
138	16.7%
139	63.6%
140	50.0%
141	84.6%
142	50.0%
143	100.0%
144	62.5%
145	85.7%
146	40.0%
147	57.1%
148	50.0%
149	100.0%
150	33.3%
151	90.0%
152	78.1%
153	100.0%
154	100.0%
155	81.8%
156	52.4%
157	100.0%
158	53.3%
159	58.8%
160	52.5%
161	70.0%
162	8.3%
163	30.0%
164	66.7%
165	100.0%
166	57.4%
167	62.2%
168	100.0%
169	60.0%
170	100.0%
171	83.3%
172	100.0%
173	75.8%
174	61.5%
175	66.7%
176	100.0%
177	61.5%
178	100.0%
179	33.3%
180	75.0%
181	84.1%
182	100.0%
183	63.5%
184	48.6%
185	69.4%
186	9.1%
187	100.0%
188	51.6%
189	50.0%
190	58.3%
191	43.3%
192	61.9%
193	66.7%
194	100.0%
195	63.4%
196	76.9%
197	90.0%
198	33.3%
199	100.0%
200	50.0%
